[water, water, water, water, water, water, water, water, water, water, water, water, water, water, water, water, water, water, water, water, water, water, water, water, water, water, water, water, water, water, water, water, water]
[water, water, water, water, water, water, water, water, water, water, water, water, water, water, water, water, wall, wall, wall, wall, wall, wall, wall, wall, water, water, water, water, water, water, water, water, water]
[water, water, water, water, water, wall, wall, wall, wall, wall, wall, wall, wall, wall, wall, wall, wall, floor, floor, floor, floor, floor, floor, wall, water, water, water, water, water, water, water, water, water]
[water, water, water, water, water, wall, floor, floor, floor, floor, floor, floor, floor, floor, floor, floor, floor, floor, floor, floor, floor, floor, floor, wall, water, water, water, water, water, water, water, water, water]
[water, water, water, water, water, wall, floor, wall, wall, wall, wall, wall, wall, wall, wall, wall, wall, wall, wall, wall, wall, wall, wall, wall, water, water, water, water, water, water, water, water, water]
[water, water, water, water, wall, wall, floor, wall, wall, water, water, water, water, water, water, water, water, water, water, water, water, water, water, water, water, water, water, water, water, water, water, water, water]
[water, water, water, water, wall, floor, floor, floor, wall, water, water, water, water, water, water, water, water, water, water, water, water, water, water, water, water, water, water, water, water, water, water, water, water]
[water, water, water, water, wall, floor, floor, floor, wall, water, water, water, water, water, water, water, water, water, water, water, water, water, water, water, water, water, water, water, water, water, water, water, water]
[water, water, water, water, wall, floor, floor, floor, wall, water, water, water, water, water, water, water, water, water, water, water, water, water, water, water, water, water, water, water, water, water, water, water, water]
[water, water, water, water, wall, floor, floor, floor, wall, water, water, water, water, water, water, water, water, water, water, water, wall, wall, wall, wall, wall, water, water, water, water, water, water, water, water]
[water, water, water, water, wall, floor, floor, floor, wall, water, water, water, water, water, water, water, water, water, water, water, wall, floor, floor, you, wall, water, water, water, water, water, water, water, water]
[water, water, water, water, wall, floor, floor, floor, wall, wall, wall, wall, wall, wall, wall, wall, wall, wall, wall, wall, wall, floor, floor, floor, wall, water, water, water, water, water, water, water, water]
[water, water, water, water, wall, floor, floor, floor, floor, floor, floor, floor, floor, floor, floor, floor, floor, floor, floor, floor, floor, floor, floor, floor, wall, water, water, water, water, water, water, water, water]
[water, water, water, water, wall, wall, wall, wall, wall, wall, wall, wall, wall, wall, wall, wall, wall, wall, wall, wall, wall, floor, floor, floor, wall, water, water, water, water, water, water, water, water]
[water, water, water, water, water, water, water, water, water, water, water, water, water, water, water, water, water, water, water, water, wall, floor, floor, floor, wall, water, water, water, water, water, water, water, water]
[water, water, water, water, water, water, water, water, water, water, water, water, water, water, water, water, water, water, water, water, wall, floor, floor, floor, wall, water, water, water, water, water, water, water, water]
[water, water, water, water, water, water, water, water, water, water, water, water, water, water, water, water, water, water, water, water, wall, floor, floor, floor, wall, water, water, water, water, water, water, water, water]
[water, water, water, water, water, water, water, water, water, water, water, water, water, water, water, water, water, water, water, water, wall, wall, floor, wall, wall, water, water, water, water, water, water, water, water]
[water, water, water, water, water, water, water, water, water, water, wall, wall, wall, wall, wall, wall, wall, wall, wall, wall, wall, wall, floor, wall, wall, wall, water, water, water, water, water, water, water]
[water, water, water, water, water, water, water, water, water, water, wall, floor, floor, floor, floor, floor, floor, floor, floor, floor, floor, floor, floor, floor, floor, wall, water, water, water, water, water, water, water]
[water, water, water, water, water, wall, wall, wall, wall, wall, wall, floor, floor, floor, floor, floor, wall, wall, wall, wall, wall, wall, wall, floor, floor, wall, water, water, water, water, water, water, water]
[water, water, water, water, wall, wall, floor, floor, floor, floor, floor, floor, floor, floor, floor, floor, floor, floor, floor, floor, floor, floor, floor, floor, floor, wall, water, water, water, water, water, water, water]
[water, water, water, water, wall, floor, floor, floor, wall, wall, wall, floor, floor, floor, floor, floor, wall, wall, wall, wall, wall, wall, wall, wall, wall, wall, water, water, water, water, water, water, water]
